period	cat	value	fcc	interval	fkt_id	fkt_date	fkt_pop	fkt_area	fkt_mines	fkt_fert	fkt_cattle	fkt_poors	prot_area	altitude	dist_patch	dist_fedge	dist_road	dist_town	fragindex	date_image	statut_tp1
1	443	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	1041	660	330	58710	10860	5	20010913	0
1	444	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	822	480	360	58110	13320	5	20010913	0
1	445	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	836	450	150	57750	14850	5	20010913	0
1	446	1	111	3.613963	214312007	2007	760	124.834	1	0	1810	5	0	84	420	30	54900	40620	3	20010913	0
1	447	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1104	1290	150	67560	7470	5	20010913	0
1	448	1	133	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	772	0	30	63810	2160	3	20010913	1
1	449	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	983	900	150	61710	3570	5	20010913	0
1	450	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	866	1530	90	60270	5790	5	20010913	0
1	451	1	111	3.613963	222011003	2007	854	61.323	0	0	7500	49	1	817	1350	30	59400	7770	3	20010913	0
1	452	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	847	390	240	57750	14730	5	20010913	0
1	453	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	681	930	150	57240	16950	5	20010913	0
1	454	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	749	780	300	57090	17550	5	20010913	0
1	455	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1061	30	90	69030	10020	5	20010913	0
1	456	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1152	600	120	68520	9120	5	20010913	0
1	457	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	792	120	60	62910	2160	3	20010913	0
